rsi,pivot_k,direction,locations,trigger,target_r,n_trades,winrate,avg_r,profit_factor,total_r,max_dd_r,n_instruments,n_instruments_positive,score,per_instrument
14,5,long,sr+bb,macd,1.5,2,0.5,0.25,1.5,0.5,1.0,2,1,0.3535533905932738,"EURUSD:n=1,avgR=1.50; MSFT:n=1,avgR=-1.00"
14,3,long,bb,macd,1.5,9,0.4444444444444444,0.1111111111111111,1.2,1.0,4.0,3,1,0.3333333333333333,"EURUSD:n=5,avgR=0.50; MSFT:n=1,avgR=-1.00; SP500:n=3,avgR=-0.17"
14,3,long,fib,candle,1.5,9,0.4444444444444444,0.1111111111111111,1.2,1.0,3.0,4,2,0.3333333333333333,"EURUSD:n=3,avgR=-0.17; MSFT:n=2,avgR=0.25; SP500:n=1,avgR=-1.00; NASDAQ:n=3,avgR=0.67"
9,3,long,bb,candle,2.5,3,0.3333333333333333,0.16666666666666666,1.25,0.5,1.0,2,1,0.28867513459481287,"EURUSD:n=2,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
14,3,long,bb,candle,2.5,3,0.3333333333333333,0.16666666666666666,1.25,0.5,1.0,2,1,0.28867513459481287,"EURUSD:n=2,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
14,3,long,sr+fib,macd,2.5,3,0.3333333333333333,0.16666666666666666,1.25,0.5,2.0,3,1,0.28867513459481287,"MSFT:n=1,avgR=2.50; SP500:n=1,avgR=-1.00; NASDAQ:n=1,avgR=-1.00"
9,3,long,fib,either,1.5,14,0.42857142857142855,0.07142857142857142,1.125,1.0,5.0,4,2,0.26726124191242434,"EURUSD:n=4,avgR=-0.38; MSFT:n=4,avgR=0.88; SP500:n=3,avgR=-1.00; NASDAQ:n=3,avgR=0.67"
9,3,short,sr+bb,macd,1.5,13,0.46153846153846156,0.06595028173353393,1.1224790946479914,0.857353662535941,3.142646337464059,4,2,0.23778712242155267,"EURUSD:n=3,avgR=-0.17; MSFT:n=6,avgR=-0.36; SP500:n=2,avgR=0.25; NASDAQ:n=2,avgR=1.50"
14,3,short,sr+fib+bb,either,2.5,3,0.3333333333333333,0.12934912701179288,1.1837386774451493,0.3880473810353786,1.1119526189646214,3,1,0.22403925989910511,"MSFT:n=1,avgR=-1.00; SP500:n=1,avgR=2.50; NASDAQ:n=1,avgR=-1.11"
9,3,short,sr+fib+bb,macd,2.5,3,0.3333333333333333,0.12934912701179288,1.1837386774451493,0.3880473810353786,1.1119526189646214,3,1,0.22403925989910511,"MSFT:n=1,avgR=-1.00; SP500:n=1,avgR=2.50; NASDAQ:n=1,avgR=-1.11"
9,3,short,sr+fib+bb,either,2.5,3,0.3333333333333333,0.12934912701179288,1.1837386774451493,0.3880473810353786,1.1119526189646214,3,1,0.22403925989910511,"MSFT:n=1,avgR=-1.00; SP500:n=1,avgR=2.50; NASDAQ:n=1,avgR=-1.11"
14,3,short,sr+fib+bb,macd,2.5,3,0.3333333333333333,0.12934912701179288,1.1837386774451493,0.3880473810353786,1.1119526189646214,3,1,0.22403925989910511,"MSFT:n=1,avgR=-1.00; SP500:n=1,avgR=2.50; NASDAQ:n=1,avgR=-1.11"
14,3,short,fib+bb,either,2.5,3,0.3333333333333333,0.12934912701179288,1.1837386774451493,0.3880473810353786,1.1119526189646214,3,1,0.22403925989910511,"MSFT:n=1,avgR=-1.00; SP500:n=1,avgR=2.50; NASDAQ:n=1,avgR=-1.11"
